'河南省促进高新技术产业发展条例',河南省人民代表大会常务委员会,2011-06-13,现行有效,地方性法规及文件
'洛阳市人民政府关于加快硅光伏产业发展的意见',洛阳市人民政府,2011-11-16,已失效,地方政府规章及文件
'许昌市人民政府关于乡(镇、办)项目(企业)异地落户产业集聚区利益分配的指导意见(试行)',许昌市人民政府,2011-11-11,现行有效,地方政府规章及文件
'济源市人民政府办公室关于印发济源市参加第二届中国郑州产业转移系列对接活动工作方案的通知',济源市人民政府办公室,2011-11-03,已失效,地方政府规章及文件
'洛阳市人民政府办公室关于转发《第二届中国郑州产业转移系列对接活动洛阳市工作方案》的通知',洛阳市人民政府办公室,2011-10-26,现行有效,地方政府规章及文件
'洛阳市人民政府关于积极承接产业转移加快开放型经济发展的实施意见',洛阳市人民政府,2011-10-26,现行有效,地方政府规章及文件
'桐柏县人民政府关于加快油茶产业发展的意见',南阳市桐柏县人民政府,2011-10-25,现行有效,地方政府规章及文件
'河南省人民政府办公厅转发《关于全面推进全省产业集聚区招商引资工作指导意见》的通知',河南省人民政府办公厅,2011-10-21,现行有效,地方政府规章及文件
'南阳市人民政府办公室关于印发第二届中国郑州产业转移系列对接活动南阳市工作方案的通知',南阳市人民政府办公室,2011-10-19,已失效,地方政府规章及文件
'平顶山市人民政府办公室关于加强企业技术改造促进产业优化升级的意见',平顶山市人民政府办公室,2011-10-18,现行有效,地方政府规章及文件
'商丘市人民政府办公室关于转发《商丘市参加第二届中国郑州产业转移系列对接活动工作方案》的通知',商丘市人民政府办公室,2011-10-18,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于转发《河南省创建知名品牌创建示范产业集聚区实施意见(试行)》的通知',河南省人民政府办公厅,2011-10-18,现行有效,地方政府规章及文件
'许昌市人民政府办公室关于转发《许昌市参加第二届中国郑州产业转移系列对接活动工作方案》的通知',许昌市人民政府办公室,2011-10-13,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于转发《第二届中国郑州产业转移系列对接活动河南省工作方案》的通知',河南省人民政府办公厅,2011-10-10,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于加快河南省镁产业发展的实施意见',河南省人民政府办公厅,2011-09-28,现行有效,地方政府规章及文件
'洛阳市人民政府办公室转发市发展改革委等部门《关于加快推进合同能源管理促进节能服务产业实施意见》的通知',洛阳市人民政府办公室,2011-09-27,现行有效,地方政府规章及文件
'安阳市人民政府关于批转市发展改革委《2011年安阳市加快产业集聚区建设专项工作方案》的通知',安阳市人民政府,2011-09-16,现行有效,地方政府规章及文件
'安阳市人民政府关于批转市发展改革委《安阳市产业集聚区和专业园区“十二五”规划发展意见》的通知',安阳市人民政府,2011-09-16,现行有效,地方政府规章及文件
'安阳市人民政府办公室关于印发安阳市产业集聚区和专业园区建设管理服务考核办法的通知',安阳市人民政府办公室,2011-09-15,现行有效,地方政府规章及文件
'内黄县人民政府关于印发2011年陶瓷产业园区环境综合整治实施方案的通知',安阳市内黄县人民政府,2011-09-05,现行有效,地方政府规章及文件
'开封市人民政府关于加快培育和发展十大产业集群的意见',开封市人民政府,2011-09-03,现行有效,地方政府规章及文件
'许昌市人民政府关于进一步加强市区产业集聚区项目规划管理工作的意见',许昌市人民政府,2011-09-03,现行有效,地方政府规章及文件
'济源市人民政府关于加快推进产业集聚区内村(居)民搬迁的实施意见',济源市人民政府,2011-09-03,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于进一步加快茶产业发展的实施意见',河南省人民政府办公厅,2011-09-01,现行有效,地方政府规章及文件
'郑州市人民政府关于印发郑州市战略性新兴产业发展规划(2011—2015年)的通知',郑州市人民政府,2011-08-23,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于扩大蔬菜出口加快蔬菜产业发展的指导意见',河南省人民政府办公厅,2011-08-18,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发河南省茶产业发展规划(2011—2020年)重点任务分解方案的通知',河南省人民政府办公厅,2011-08-15,现行有效,地方政府规章及文件
'郑州市人民政府关于文化创意产业项目用地的实施意见',郑州市人民政府,2011-08-13,现行有效,地方政府规章及文件
'鹤壁市人民政府关于印发鹤壁市宝山循环经济产业集聚区招商引资优惠政策的通知',鹤壁市人民政府,2011-08-03,现行有效,地方政府规章及文件
'鹤壁市人民政府办公室关于转发《鹤壁市参加2011年河南省承接产业和技术转移合作交流洽谈会工作方案》的通知',鹤壁市人民政府办公室,2011-08-02,现行有效,地方政府规章及文件
'南阳市人民政府办公室关于印发南阳市组团参加2011年河南省承接产业和技术转移合作交流洽谈会工作方案的通知',南阳市人民政府办公室,2011-08-01,现行有效,地方政府规章及文件
'济源市人民政府办公室关于印发济源市参加2011年河南省承接产业和技术转移合作交流洽谈会工作方案的通知',济源市人民政府办公室,2011-08-01,已失效,地方政府规章及文件
'范县人民政府办公室关于印发范县产业集聚区建设行动计划的通知',濮阳市范县人民政府办公室,2011-07-29,现行有效,地方政府规章及文件
'安阳市人民政府办公室关于印发安阳市参加河南省承接产业和技术转移合作交流洽谈会工作方案的通知',安阳市人民政府办公室,2011-07-25,已失效,地方政府规章及文件
'河南省住房和城乡建设厅关于印发2011年河南省承接产业和技术转移合作交流洽谈会住房和城乡建设项目专项招商会工作方案的通知',河南省住房和城乡建设厅,2011-07-25,已失效,地方政府规章及文件
'河南省人民政府办公厅印发河南省贯彻落实国务院关于中西部地区承接产业转移指导意见分工方案的通知',河南省人民政府办公厅,2011-07-22,现行有效,地方政府规章及文件
'开封市人民政府办公室关于印发2011年河南省承接产业和技术转移合作交流洽谈会开封市代表团参会工作方案的通知',开封市人民政府办公室,2011-07-20,现行有效,地方政府规章及文件
'许昌市人民政府办公室关于转发《许昌市参加2011年河南省承接产业和技术转移合作交流洽谈会暨百名浙商看许昌活动工作方案》的通知',许昌市人民政府办公室,2011-07-20,现行有效,地方政府规章及文件
'郑州市人民政府关于印发郑州市电子信息产业发展规划纲要的通知',郑州市人民政府,2011-07-20,现行有效,地方政府规章及文件
'郑州市人民政府关于印发郑州市铝及铝加工产业发展规划纲要的通知',郑州市人民政府,2011-07-20,现行有效,地方政府规章及文件
'郑州市人民政府办公厅关于部分转发《河南省2011年推进物流产业发展工作方案》的通知',郑州市人民政府办公厅,2011-07-14,现行有效,地方政府规章及文件
'安阳市人民政府关于印发安阳市传统产业升级行动计划的通知',安阳市人民政府,2011-07-13,现行有效,地方政府规章及文件
'偃师市人民政府办公室关于印发偃师市洛偃快速通道北环路两侧花卉苗木经济林产业带发展奖补办法的通知',偃师市人民政府办公室,2011-07-13,已失效,地方政府规章及文件
'河南省人民政府办公厅关于转发《2011年河南省承接产业和技术转移合作交流洽谈会工作方案》的通知',河南省人民政府办公厅,2011-07-08,现行有效,地方政府规章及文件
'商丘市人民政府办公室关于印发商丘市产业集聚区发展考核办法的通知',商丘市人民政府办公室,2011-07-07,现行有效,地方政府规章及文件
'许昌市人民政府办公室转发市发展改革委等部门《关于加快推行合同能源管理促进节能服务产业发展实施意见》的通知',许昌市人民政府办公室,2011-07-06,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于加强企业技术改造促进产业优化升级的意见',河南省人民政府办公厅,2011-07-05,现行有效,地方政府规章及文件
'郑州市人民政府关于印发2011年郑州市加快产业集聚区建设工作方案的通知',郑州市人民政府,2011-07-04,现行有效,地方政府规章及文件
'新乡市人民政府关于大力承接产业转移的实施意见',新乡市人民政府,2011-07-03,现行有效,地方政府规章及文件
'关于加快推进郑州市农业产业发展引导资金项目建设的紧急通知',郑州市农业农村工作委员会,2011-07-02,现行有效,地方政府规章及文件
'许昌市人民政府办公室关于转发《许昌市战略性新兴产业发展专项引导资金管理暂行办法》的通知',许昌市人民政府办公室,2011-06-22,现行有效,地方政府规章及文件
'商丘市人民政府办公室关于转发《推进物流产业发展工作方案》的通知',商丘市人民政府办公室,2011-06-15,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于转发《河南省2011年重点工业产业年度行动计划》的通知',河南省人民政府办公厅,2011-06-05,已失效,地方政府规章及文件
'平顶山市人民政府办公室关于印发2011年平顶山市承接产业转移工作专项计划的通知',平顶山市人民政府办公室,2011-06-02,现行有效,地方政府规章及文件
'关于印发《郑州市2011年农业产业发展引导资金贷款贴息项目申报指南》的通知',郑州市农业农村工作委员会;郑州市发展和改革委员会;郑州市财政局,2011-05-31,现行有效,地方政府规章及文件
'洛阳市工业和信息化局关于转发《河南省对外开放工作领导小组关于印发<2011年全省工业和信息化领域承接产业转移工作专项方案>的通知》的通知',洛阳市工业和信息化局,2011-05-18,现行有效,地方政府规章及文件
'关于加强我市产业集聚区统计调查管理工作的通知',辉县市人民政府办公室,2011-05-17,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于转发《河南省创建环境友好型示范产业集聚区实施意见(试行)》的通知',河南省人民政府办公厅,2011-05-12,现行有效,地方政府规章及文件
'关于鼓励农民工在产业集聚区务工的实施意见',周口市商水县人民政府,2011-05-12,现行有效,地方政府规章及文件
'安阳市人民政府办公室关于印发安阳市2011年承接产业转移行动计划的通知',安阳市人民政府办公室,2011-05-11,现行有效,地方政府规章及文件
'郑州市人民政府关于整合农业产业发展引导资金的意见',郑州市人民政府,2011-05-11,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于促进动漫产业发展的意见',河南省人民政府办公厅,2011-05-10,现行有效,地方政府规章及文件
'洛阳市人民政府关于促进轴承产业又好又快发展的意见',洛阳市人民政府,2011-05-09,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发河南省茶产业发展规划(2011—2020年)的通知',河南省人民政府办公厅,2011-05-09,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于转发《河南省创建节约集约利用土地示范产业集聚区实施意见》的通知',河南省人民政府办公厅,2011-05-08,已失效,地方政府规章及文件
'开封市人民政府办公室关于印发开封市2011年承接产业转移行动计划的通知',开封市人民政府办公室,2011-05-06,现行有效,地方政府规章及文件
'济源市人民政府办公室转发市工业和信息化局关于《济源市2011-2015年有色金属产业发展规划》的通知',济源市人民政府办公室,2011-05-04,现行有效,地方政府规章及文件
'鹤壁市人民政府关于批转《2011年鹤壁市加快产业集聚区和产业园区建设专项工作方案》的通知',鹤壁市人民政府,2011-04-28,现行有效,地方政府规章及文件
'长葛市人民政府关于实施2011年长葛市产业集聚区建设提升推进计划的意见',长葛市人民政府,2011-04-24,现行有效,地方政府规章及文件
'灵宝市2011年SOD苹果产业发展意见',灵宝市人民政府,2011-04-20,现行有效,地方政府规章及文件
'关于建立我市产业集聚区建设和发展推进工作机制的通知',郑州市发展和改革委员会,2011-04-14,现行有效,地方政府规章及文件
'河南省统计局关于印发推进2011年产业集聚区统计工作方案的通知',河南省统计局,2011-04-08,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于转发《2011年推进物流产业发展工作方案》的通知',河南省人民政府办公厅,2011-04-02,现行有效,地方政府规章及文件
'偃师市人民政府关于印发偃师市支持劳动密集型产业发展优惠政策的通知',偃师市人民政府,2011-03-31,现行有效,地方政府规章及文件
'周口市人民政府关于加快制鞋产业出口基地建设的意见',周口市人民政府,2011-03-30,现行有效,地方政府规章及文件
'偃师市人民政府关于实施财政奖励政策促进产业集聚区标准化厂房建设的意见',偃师市人民政府,2011-03-30,现行有效,地方政府规章及文件
'河南省人民政府关于批转《2011年河南省加快产业产品结构调整专项工作方案》的通知',河南省人民政府,2011-03-25,已失效,地方政府规章及文件
'商丘市人民政府办公室关于转发《商丘市2011年产业优化升级专项工作方案》的通知',商丘市人民政府办公室,2011-03-23,现行有效,地方政府规章及文件
'商丘市人民政府办公室关于转发《商丘市2011年产业集聚区建设专项工作方案》的通知',商丘市人民政府办公室,2011-03-22,现行有效,地方政府规章及文件
'河南省人民政府关于批转《2011年河南省加快产业集聚区建设专项工作方案》的通知',河南省人民政府,2011-03-19,已失效,地方政府规章及文件
'河南省人民政府办公厅关于转发《加快自主创新促进产业产品结构调整工作方案》的通知',河南省人民政府办公厅,2011-03-16,现行有效,地方政府规章及文件
'关于印发河南省交通运输厅2011年加快产业聚集区建设工作方案的通知',河南省交通运输厅,2011-03-09,现行有效,地方政府规章及文件
'许昌市人民政府关于调整完善许昌市产业集聚区发展考核指标体系的通知',许昌市人民政府,2011-03-04,现行有效,地方政府规章及文件
'许昌市人民政府关于实施2011年许昌市产业集聚区建设提升推进计划的意见',许昌市人民政府,2011-03-04,现行有效,地方政府规章及文件
'濮阳市人民政府办公室关于印发濮阳市创新型产业集聚区认定和管理办法(试行)的通知',濮阳市人民政府办公室,2011-03-01,现行有效,地方政府规章及文件
'鹤壁市人民政府关于发展蔬菜产业丰富“菜篮子”的实施意见',鹤壁市人民政府,2011-02-28,现行有效,地方政府规章及文件
'洛阳市人民政府办公室关于印发洛阳市产业集聚区发展考核办法的通知',洛阳市人民政府办公室,2011-02-25,现行有效,地方政府规章及文件
'河南省人民政府办公厅转发省发展改革委等部门《关于加快推行合同能源管理促进节能服务产业发展实施意见》的通知',河南省人民政府办公厅,2011-02-25,现行有效,地方政府规章及文件
'关于印发辉县市产业集聚区2011年专项建设实施方案的通知',辉县市人民政府,2011-02-25,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于转发《河南省专业示范产业集聚区创建办法》的通知',河南省人民政府办公厅,2011-02-17,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于加快发展体育产业的意见',河南省人民政府办公厅,2011-02-01,现行有效,地方政府规章及文件
'许昌市人民政府办公室关于印发许昌市2011年主导特色产业提升计划的通知',许昌市人民政府办公室,2011-01-31,现行有效,地方政府规章及文件
'许昌市人民政府办公室关于印发许昌市2011年战略性新兴产业倍增计划的通知',许昌市人民政府办公室,2011-01-30,现行有效,地方政府规章及文件
'济源市人民政府关于印发市政府工作部门和产业集聚区2011年重点工作目标的通知',济源市人民政府,2011-01-13,现行有效,地方政府规章及文件
'南阳市人民政府关于加快推进光电产业发展的意见',南阳市人民政府,2011-01-04,现行有效,地方政府规章及文件
'安阳市人民政府关于加快汽车产业发展的若干意见',安阳市人民政府,2011,现行有效,地方政府规章及文件
'2011年河南省加快产业产品结构调整总体方案',河南省发展和改革委员会,2011,现行有效,地方政府规章及文件
'信阳市浉河区人民政府关于印发浉河区2011年加快产业产品结构调整专项工作方案的通知',信阳市浉河区人民政府,2011,现行有效,地方政府规章及文件
'郑州市人民政府办公厅关于进一步加快建设郑州高新区IT产业园的意见',郑州市人民政府办公厅,2010-12-31,现行有效,地方政府规章及文件
'周口市人民政府办公室关于印发周口市承接产业转移工作考核办法的通知',周口市人民政府办公室,2010-12-22,现行有效,地方政府规章及文件
'郑州市人民政府办公厅关于建立郑州市产业集聚区统计监测考核评价体系的通知',郑州市人民政府办公厅,2010-12-13,现行有效,地方政府规章及文件
'河南省发展和改革委员会、河南省工业和信息化厅关于做好重点产业振兴和技术改造专项投资项目监督管理工作的通知',河南省发展和改革委员会;河南省工业和信息化厅,2010-11-30,现行有效,地方政府规章及文件
'河南省人民政府关于印发河南省电动汽车产业发展规划(暂行)的通知',河南省人民政府,2010-11-18,已失效,地方政府规章及文件
'潢川县人民政府关于优惠政策扶持茶产业发展的通知',信阳市潢川县人民政府,2010-11-12,现行有效,地方政府规章及文件
'郑州市人民政府关于进一步加快产业集聚区发展的意见',郑州市人民政府,2010-11-03,现行有效,地方政府规章及文件
'南阳市人民政府办公室关于印发南阳市产业集聚区争先进位竞赛考核实施办法的通知',南阳市人民政府办公室,2010-11-02,现行有效,地方政府规章及文件
'太康县人民政府办公室关于印发太康县产业集聚区标准化厂房建设使用管理办法的通知',周口市太康县人民政府办公室,2010-11-01,现行有效,地方政府规章及文件
'许昌市人民政府办公室关于转发《许昌市参加中国郑州2010产业转移合作洽谈会工作方案》的通知',许昌市人民政府办公室,2010-10-28,现行有效,地方政府规章及文件
'凤泉区人民政府关于印发《凤泉区产业集聚区招商引资优惠政策(暂行)》的通知',新乡市凤泉区人民政府,2010-10-28,现行有效,地方政府规章及文件
'民权县人民政府关于加快制冷产业基地发展的意见',商丘市民权县人民政府,2010-10-28,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于转发《中国郑州2010产业转移合作洽谈会河南省工作方案》的通知',河南省人民政府办公厅,2010-10-12,现行有效,地方政府规章及文件
'濮阳市人民政府办公室关于印发中国（郑州）2010产业转移合作洽谈会濮阳市代表团参会方案的通知',濮阳市人民政府办公室,2010-10-08,已失效,地方政府规章及文件
'安阳市人民政府办公室关于建立安阳市产业集聚区专业园区考核晋级统计指标体系的通知',安阳市人民政府办公室,2010-09-30,现行有效,地方政府规章及文件
'河南省人民政府关于支持电动汽车产业发展的若干意见',河南省人民政府,2010-09-27,已失效,地方政府规章及文件
'许昌市人民政府办公室转发市环保局等部门《关于加快淘汰落后产能调整造纸产业结构改善清潩河水质实施意见》的通知',许昌市人民政府办公室,2010-09-20,现行有效,地方政府规章及文件
'关于切实加强城市新区、产业集聚区统计工作的意见',河南省统计局,2010-09-13,现行有效,地方政府规章及文件
'关于印发《河南省创新型产业集聚区管理办法（试行）》的通知',河南省科学技术厅,2010-09-01,已失效,地方政府规章及文件
'鹤壁市人民政府关于进一步促进产业集聚区发展的指导意见',鹤壁市人民政府,2010-08-17,现行有效,地方政府规章及文件
'鹤壁市人民政府关于完善产业集聚区推进工作机制的通知',鹤壁市人民政府,2010-08-17,现行有效,地方政府规章及文件
'河南省人民政府关于加快建设创新型产业集聚区的实施意见',河南省人民政府,2010-08-17,现行有效,地方政府规章及文件
'南阳市人民政府关于印发南阳市现代产业体系规划(2010-2020年)的通知',南阳市人民政府,2010-08-17,现行有效,地方政府规章及文件
'邓州市人民政府办公室批转市农业银行《邓州市有产业支撑专业乡(镇)专业村和农民专业合作社普查工作实施方案》的通知',邓州市人民政府办公室,2010-08-13,现行有效,地方政府规章及文件
'邓州市人民政府办公室关于转发《邓州市产业集聚区发展统计监测方案》的通知',邓州市人民政府办公室,2010-08-12,现行有效,地方政府规章及文件
'邓州市人民政府办公室关于加强产业集聚区统计监测工作的通知',邓州市人民政府办公室,2010-08-12,现行有效,地方政府规章及文件
'许昌市人民政府关于加快智能电网特色产业链建设的意见',许昌市人民政府,2010-08-06,现行有效,地方政府规章及文件
'光山县人民政府办公室转发官渡河工业园区《关于鼓励扶持县内工业企业搬迁至产业集聚区实施意见》的通知',信阳市光山县人民政府办公室,2010-08-04,现行有效,地方政府规章及文件
'安阳市人民政府关于完善财政激励政策促进产业集聚区加快发展的通知',安阳市人民政府,2010-08-03,现行有效,地方政府规章及文件
'关于河南省技工院校积极为产业集聚区发展服务加快技能人才培养的通知',河南省人力资源和社会保障厅,2010-08-02,现行有效,地方政府规章及文件
'濮阳市人民政府办公室转发《河南省城市新区产业集聚区专业园区考核晋级实施办法的通知》',濮阳市人民政府办公室,2010-07-30,现行有效,地方政府规章及文件
'济源市人民政府关于印发加快工业和产业集聚区发展的若干政策的通知',济源市人民政府,2010-07-28,现行有效,地方政府规章及文件
'河南省财政厅关于印发河南省特色产业中小企业发展资金管理办法（试行）的通知',河南省财政厅,2010-07-27,现行有效,地方政府规章及文件
'许昌市人民政府关于建立完善产业集聚区推进工作机制的通知',许昌市人民政府,2010-07-26,现行有效,地方政府规章及文件
'安阳市人民政府关于进一步推进我市旅游产业发展的若干意见',安阳市人民政府,2010-07-21,现行有效,地方政府规章及文件
'新安县人民政府办公室关于印发2010年新安县产业集聚区及310国道沿线铁门镇区域大气治理方案的通知',洛阳市新安县人民政府办公室,2010-07-19,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发河南省城市新区产业集聚区专业园区考核晋级实施办法的通知',河南省人民政府办公厅,2010-07-19,已失效,地方政府规章及文件
'河南省发展和改革委员会关于转发《国家发展改革委关于规范煤制天然气产业发展有关事项的通知》的通知',河南省发展和改革委员会,2010-07-16,现行有效,地方政府规章及文件
'关于印发《河南省知识产权优势产业集聚区认定办法》（试行）的通知',河南省知识产权局;河南省科学技术厅;河南省发展和改革委员会;河南省工业和信息化厅;河南省财政厅;河南省商务厅;河南省工商行政管理局;河南省质量技术监督局,2010-06-22,现行有效,地方政府规章及文件
'洛宁县人民政府关于建立完善产业集聚区推进工作机制的通知',洛阳市洛宁县人民政府,2010-06-21,现行有效,地方政府规章及文件
'太康县人民政府办公室印发关于加快2010年日光温室建设发展蔬菜产业意见的通知',周口市太康县人民政府办公室,2010-06-10,现行有效,地方政府规章及文件
'河南省洛阳市工业和信息化局、河南省洛阳市财政局关于印发《洛阳市信息产业发展专项资金管理暂行办法》的通知',洛阳市工业和信息化局;洛阳市财政局,2010-06-09,现行有效,地方政府规章及文件
'商丘市人民政府关于进一步促进产业集聚区发展的实施意见',商丘市人民政府,2010-06-02,现行有效,地方政府规章及文件
'平顶山市人民政府关于建立完善产业集聚区推进工作机制的通知',平顶山市人民政府,2010-05-28,现行有效,地方政府规章及文件
'漯河市郾城区人民政府关于促进蔬菜产业快速发展的意见',漯河市郾城区人民政府,2010-05-25,现行有效,地方政府规章及文件
'鹤壁市人民政府办公室关于印发鹤壁市产业集聚区建设工程2010年工作方案的通知',鹤壁市人民政府办公室,2010-05-20,现行有效,地方政府规章及文件
'安阳市人民政府关于进一步促进产业集聚区发展的指导意见',安阳市人民政府,2010-05-20,现行有效,地方政府规章及文件
'偃师市人民政府关于加快第三产业市场主体准入促进地方经济发展的意见',偃师市人民政府,2010-05-12,现行有效,地方政府规章及文件
'济源市人民政府关于建立完善产业集聚区推进工作机制的通知',济源市人民政府,2010-05-11,现行有效,地方政府规章及文件
'邓州市人民政府办公室关于进一步促进棉花生产服务产业发展的通知',邓州市人民政府办公室,2010-05-11,现行有效,地方政府规章及文件
'济源市人民政府办公室关于印发济源市肉兔产业2010—2012年发展规划的通知',济源市人民政府办公室,2010-05-08,现行有效,地方政府规章及文件
'长垣县人民政府关于加快长垣县冬枣产业发展的实施意见',新乡市长垣县人民政府,2010-04-30,现行有效,地方政府规章及文件
'洛阳市人民政府关于建立完善产业集聚区推进工作机制的通知',洛阳市人民政府,2010-04-22,现行有效,地方政府规章及文件
'南阳市人民政府关于建立完善产业集聚区推进工作机制的通知',南阳市人民政府,2010-04-20,现行有效,地方政府规章及文件
'河南省住房和城乡建设厅关于加快推进产业集聚区规划建设工作的通知',河南省住房和城乡建设厅,2010-04-12,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于省产业集聚区建设工程2010年工作方案的通知',河南省人民政府办公厅,2010-04-10,现行有效,地方政府规章及文件
'安阳市人民政府办公室关于2010年产业集聚区投资目标分解的通知',安阳市人民政府办公室,2010-04-09,现行有效,地方政府规章及文件
'孟州市人民政府关于建设市产业集聚区创业园的实施意见',孟州市人民政府,2010-04-02,现行有效,地方政府规章及文件
'河南省环境保护厅关于印发推进产业集聚区发展2010年工作方案的通知',河南省环境保护厅,2010-04-01,现行有效,地方政府规章及文件
'新安县人民政府关于加强和改进全县文化产业统计监测工作的意见',洛阳市新安县人民政府,2010-04-01,现行有效,地方政府规章及文件
'河南省住房和城乡建设厅关于印发推进产业集聚区规划建设2010年工作方案的通知',河南省住房和城乡建设厅,2010-03-30,现行有效,地方政府规章及文件
'郑州市人民政府办公厅关于转发市工业和信息化委员会《郑州市创建新型工业化产业示范基地实施意见》的通知',郑州市人民政府办公厅,2010-03-29,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发河南省产业集聚区发展考核办法的通知',河南省人民政府办公厅,2010-03-26,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于完善财政激励政策促进产业集聚区加快发展的通知',河南省人民政府办公厅,2010-03-24,已失效,地方政府规章及文件
'平顶山市人民政府关于推进产业集聚区科学发展的意见',平顶山市人民政府,2010-03-23,现行有效,地方政府规章及文件
'平顶山市人民政府印发关于加快产业集聚区科学发展若干政策(试行)的通知',平顶山市人民政府,2010-03-23,现行有效,地方政府规章及文件
'河南省人民政府关于建立完善产业集聚区推进工作机制的通知',河南省人民政府,2010-03-22,现行有效,地方政府规章及文件
'洛阳市人民政府办公室关于印发2010年洛阳市产业集聚区建设工作实施方案的通知',洛阳市人民政府办公室,2010-03-18,现行有效,地方政府规章及文件
'许昌市人民政府关于印发许昌市2010—2015年电动汽车产业发展规划的通知',许昌市人民政府,2010-03-16,现行有效,地方政府规章及文件
'修武县人民政府办公室关于印发修武县产业集聚区联席会议制度的通知',焦作市修武县人民政府办公室,2010-03-12,现行有效,地方政府规章及文件
'河南省人民政府关于进一步促进产业集聚区发展的指导意见',河南省人民政府,2010-03-10,现行有效,地方政府规章及文件
'关于在产业集聚区建立博士后研发基地的实施意见',河南省人力资源和社会保障厅,2010-03-05,现行有效,地方政府规章及文件
'郑州市惠济区人民政府关于扶持动漫产业发展的若干意见（试行）',郑州市惠济区人民政府,2010-03-03,已失效,地方政府规章及文件
'许昌市人民政府办公室关于印发许昌市2010年文化旅游产业重点建设项目的通知',许昌市人民政府办公室,2010-02-13,现行有效,地方政府规章及文件
'河南省人民政府关于印发河南省现代畜牧产业发展规划的通知',河南省人民政府,2010-02-11,现行有效,地方政府规章及文件
'许昌市人民政府办公室关于印发许昌市产业集聚区发展考核办法(试行)的通知',许昌市人民政府办公室,2010-02-01,现行有效,地方政府规章及文件
'许昌市人民政府关于实施产业集聚区两年提升推进计划的意见',许昌市人民政府,2010-02-01,现行有效,地方政府规章及文件
'许昌市人民政府关于加快蜂产业发展的意见',许昌市人民政府,2010-01-31,现行有效,地方政府规章及文件
'关于印发《关于加快发展我省半导体照明产业的指导意见》的通知',河南省发展和改革委员会;河南省科学技术厅;河南省工业和信息化厅;河南省财政厅;河南省住房和城乡建设厅;河南省质量技术监督局,2010-01-26,现行有效,地方政府规章及文件
'洛阳市人民政府关于印发洛阳市加快产业集聚区发展专项资金管理办法（试行）的通知',洛阳市人民政府,2010-01-25,已失效,地方政府规章及文件
'洛阳市人民政府关于加快蔬菜产业发展的意见',洛阳市人民政府,2010-01-15,已失效,地方政府规章及文件
'河南省环境保护厅关于进一步支持产业集聚区发展的意见',河南省环境保护厅,2010-01-14,现行有效,地方政府规章及文件
'新安县人民政府办公室关于编报《新安县“环线”产业带经济发展规划纲要（2010-2015年）》的通知',洛阳市新安县人民政府办公室,2010-01-14,现行有效,地方政府规章及文件
'卫辉市人民政府关于印发卫辉市产业集聚区入驻项目管理服务暂行办法的通知',卫辉市人民政府,2010-01-05,已失效,地方政府规章及文件
'安阳市人民政府关于建立完善产业集聚区推进工作机制的通知',安阳市人民政府,2010,现行有效,地方政府规章及文件
'汝阳县人民政府关于印发汝阳县产业集聚区管理办法的通知',洛阳市汝阳县人民政府,2010,现行有效,地方政府规章及文件
'濮阳市人民政府关于积极承接产业转移加快开放型经济发展的实施意见',濮阳市人民政府,2010,现行有效,地方政府规章及文件
'舞阳县人民政府关于促进蔬菜产业快速发展的意见',漯河市舞阳县人民政府,2010,现行有效,地方政府规章及文件
'漯河市人民政府关于贯彻落实国家和省十大产业调整振兴规划的通知',漯河市人民政府,2009-12-30,现行有效,地方政府规章及文件
'关于转发《下达老工业基地调整改造等产业结构调整（第四批）2009年第三批扩大内需中央预算内投资计划的通知》',河南省发展和改革委员会,2009-12-30,现行有效,地方政府规章及文件
'濮阳市华龙区人民政府关于印发加快濮东产业集聚区科学发展的若干政策(试行)的通知',濮阳市华龙区人民政府,2009-12-29,现行有效,地方政府规章及文件
'濮阳市华龙区人民政府关于印发濮东产业集聚区入驻工业项目优惠政策(试行)的通知',濮阳市华龙区人民政府,2009-12-29,现行有效,地方政府规章及文件
'关于转发《下达重点产业振兴和技术改造（第五批）2009年第三批扩大内需中央预算内投资计划的通知》',河南省发展和改革委员会,2009-12-25,现行有效,地方政府规章及文件
'关于转发《下达重点产业振兴和技术改造(第二批)2009年第三批扩大内需中央预算内投资计划的通知》',河南省发展和改革委员会,2009-12-18,现行有效,地方政府规章及文件
