'湖南省人民代表大会常务委员会关于批准《长沙高新技术产业开发区条例》的决定',湖南省人民代表大会常务委员会,2014-11-26,现行有效,地方性法规及文件
'湖南省人民政府关于支持汽车产业发展的若干政策意见',湖南省人民政府,2007-07-12,现行有效,地方政府规章及文件
'永州市人民政府办公室关于印发《永州市旅游产业发展年度考核奖励办法（试行）》的通知',永州市人民政府办公室,2007-06-29,现行有效,地方政府规章及文件
'湖南省人民政府办公厅转发省财政厅等单位关于鼓励和扶持动漫产业发展若干经济政策的通知',湖南省人民政府办公厅,2007-05-29,现行有效,地方政府规章及文件
'中共湖南省委、湖南省人民政府关于加快发展旅游产业的决定',中共湖南省委;湖南省人民政府,2007-05-29,现行有效,地方政府规章及文件
'永州市人民政府办公室转发市农业局《关于加快绿色食品产业发展实施意见》的通知',永州市人民政府办公室,2007-04-26,现行有效,地方政府规章及文件
'邵阳市人民政府办公室转发市农业局《关于加快发展全市绿色食品产业意见》的通知',邵阳市人民政府办公室,2007-04-13,现行有效,地方政府规章及文件
'湖南省财政厅、湖南省信息产业厅关于印发《湖南省信息产业发展专项资金管理暂行办法》的通知',湖南省财政厅;湖南省信息产业厅,2007-04-04,现行有效,地方政府规章及文件
'湘西土家族苗族自治州人民政府关于加快培育发展产业集群的意见',湘西土家族苗族自治州人民政府,2007-03-22,现行有效,地方政府规章及文件
'湖南省人民政府关于支持汽车产业发展的若干政策意见',湖南省人民政府,2007-03-12,现行有效,地方政府规章及文件
'中共湖南省委办公厅、湖南省人民政府办公厅关于扶持我省动漫产业发展的意见',中共湖南省委办公厅;湖南省人民政府办公厅,2007-02-13,现行有效,地方政府规章及文件
'中共湖南省委办公厅、湖南省人民政府办公厅关于建立湖南省新型工业化重点产业联系责任制度的通知',中共湖南省委办公厅;湖南省人民政府办公厅,2007-02-02,现行有效,地方政府规章及文件
'湖南省人民政府关于大力培育发展产业集群的意见',湖南省人民政府,2007-01-31,现行有效,地方政府规章及文件
'中共常德市委、常德市人民政府关于促进旅游产业发展的决定',中共常德市委;常德市人民政府,2007,现行有效,地方政府规章及文件
'株洲市人民政府关于加快株洲服饰产业发展的若干意见',株洲市人民政府,2006-12-27,部分失效,地方政府规章及文件
'株洲市人民政府关于加快发展株洲阀门产业的若干意见',株洲市人民政府,2006-12-25,部分失效,地方政府规章及文件
'湖南省发展和改革委员会关于颁布《湖南省实施〈国家高技术产业发展项目管理暂行办法〉细则（试行）》的通知',湖南省发展和改革委员会,2006-11-18,现行有效,地方政府规章及文件
'湖南省发展和改革委员会关于颁布《湖南省实施＜国家高技术产业发展项目管理暂行办法＞细则(试行)》的通知',湖南省发展和改革委员会,2006-11-18,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于转发省政府信息化工作办公室省信息产业厅《湖南省信息化工程建设管理暂行办法》的通知',湖南省人民政府办公厅,2006-10-27,现行有效,地方政府规章及文件
'中共永州市委、永州市人民政府关于大力培育发展产业集群的意见',中共永州市委;永州市人民政府,2006-09-12,现行有效,地方政府规章及文件
'湖南省信息产业厅关于印发《湖南省申报国家电子发展基金实施办法（试行）》的通知',湖南省信息产业厅,2006-08-23,现行有效,地方政府规章及文件
'关于印发《怀化市社会主义新农村建设产业发展工作方案》等七个专业工作方案的通知',怀化市建设社会主义新农村领导小组,2006-08-14,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于进一步加快茶叶产业发展的意见',湖南省人民政府办公厅,2006-07-27,现行有效,地方政府规章及文件
'衡阳市人民政府办公室关于印发《衡阳市工业重点产业享受财政优惠政策的审核办法》的通知',衡阳市人民政府办公室,2006-03-21,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于促进银行卡产业发展有关问题的通知',湖南省人民政府办公厅,2006-01-26,现行有效,地方政府规章及文件
