车型_品牌,车主报价（万）,新车指导价（万）,车牌注册日期,里程（万公里）,排量,变速箱,车龄
奔驰C级 2019款 C 260 L 运动版,27.88,38.08,2019,2.94,1.5T,0,2
大众 高尔夫 2014款 1.4TSI 自动舒适型,7.98,16.81,2014,8.21,1.4T,0,7
大众 捷达 2017款 1.5L 自动时尚型,6.48,10.38,2018,6.6,1.5L,0,3
大众 途观 2013款 1.8TSI 自动两驱舒适版,9.8,25.81,2014,8.12,1.8T,0,7
宝马5系 2014款 520Li 典雅型,24.6,47.28,2015,6.8,2.0T,0,6
大众 迈腾 2017款 330TSI DSG 豪华型,15.58,25.5,2017,7.8,1.8T,0,4
宝马3系 2020款 改款 325Li M运动套装,33.8,37.65,2020,0.7,2.0T,0,1
雪佛兰 赛欧 2011款 三厢 1.4L 手动幸福版,2.4,7.85,2014,10.35,1.4L,1,7
奔驰C级 2016款 C 180 L 运动型,19.5,35.36,2016,8.0,2.0T,0,5
起亚 智跑 2016款 2.0L 自动两驱版GL,9.1,17.24,2017,5.2,2.0L,0,4
大众 途观 2010款 1.8TSI 自动四驱菁英版,8.0,28.96,2011,18.48,1.8T,0,10
奥迪A4 2014款 40 TFSI allroad quattro plus版(进口),20.85,45.37,2015,3.41,2.0T,0,6
现代 全新胜达 2013款 2.4L 自动两驱智能型,7.88,27.12,2013,9.21,2.4L,0,8
福特 嘉年华 2013款 两厢 1.5L 自动时尚型,4.98,10.74,2014,4.56,1.5L,0,7
大众 速腾 2012款 1.6L 自动舒适型,5.98,16.37,2013,9.91,1.6L,0,8
大众 迈腾 2015款 改款 1.8TSI 豪华型,10.8,25.27,2015,14.01,1.8T,0,6
大众CC 2019款 330TSI 魅颜版 国V,21.18,28.53,2019,3.0,2.0T,0,2
本田 凌派 2019款 180Turbo CVT领先版 国VI,11.38,14.31,2020,0.26,1.0T,0,1
现代 悦动 2011款 1.6L 自动豪华型,3.68,13.11,2012,9.6,1.6L,0,9
现代 朗动 2016款 1.6L 自动尊贵型,7.8,13.87,2017,4.82,1.6L,0,4
福特 翼搏 2013款 1.5L 自动风尚型,5.7,12.24,2016,6.3,1.5L,0,5
大众CC 2016款 2.0TSI 豪华型,17.58,30.81,2017,3.5,2.0T,0,4
大众 速腾 2018款 1.6L 自动舒适型,10.98,16.04,2019,3.0,1.6L,0,2
马自达3星骋 2015款 三厢 2.0L 自动运动型,7.65,13.66,2016,3.3,2.0L,0,5
吉利 远景X1 2017款 1.3L 自动乐趣版,4.3,5.74,2018,4.24,1.3L,0,3
大众 途观 2015款 1.8TSI 自动两驱豪华型,10.58,28.2,2015,15.97,1.8T,0,6
哈弗H2 2018款 蓝标 1.5T 双离合两驱豪华型,7.38,11.72,2018,2.6,1.5T,0,3
宝马1系 2016款 118i 都市设计套装(进口),13.7,29.96,2017,5.72,1.5T,0,4
奔驰C级 2015款 C 200 旅行轿车(进口),29.88,45.48,2017,2.32,2.0T,0,4
奥迪A6L 2012款 TFSI 标准型,18.0,44.48,2014,14.28,2.0T,0,7
奔驰A级 2017款 改款 A 200 动感型(进口),16.98,27.9,2018,2.74,1.6T,0,3
马自达 阿特兹 2018款 2.0L 蓝天豪华版 国V,14.68,20.6,2018,2.8,2.0L,0,3
宝马2系旅行车 2016款 218i 时尚型,12.98,25.49,2016,5.8,1.5T,0,5
大众 迈腾 2018款 330TSI DSG 领先型,16.98,23.87,2018,4.19,1.8T,0,3
吉利 帝豪 2016款 三厢 1.5L CVT向上版,3.93,9.86,2015,8.56,1.5L,0,6
起亚K5 2016款 2.0L hybrid GLS,9.38,21.69,2017,6.0,2.0L,0,4
雪佛兰 科沃兹 2020款 325T 自动欣悦版 国VI,6.28,9.76,2020,1.53,1.0T,0,1
本田 雅阁 2013款 2.0L SE,10.38,22.01,2013,9.6,2.0L,0,8
别克 君威 2015款 1.6T 领先技术型,7.8,20.61,2015,10.11,1.6T,0,6
雪佛兰 迈锐宝XL 2019款 535T CVT锐联版,10.68,18.98,2019,3.9,1.3T,0,2
马自达3 2010款 1.6L 自动经典精英型,3.8,13.98,2011,12.54,1.6L,0,10
大众 高尔夫 2019款 280TSI DSG舒适型 国V,11.98,16.63,2019,1.74,1.4T,0,2
起亚 狮跑 2013款 2.0L 自动两驱版GLS,6.45,14.52,2015,9.62,2.0L,0,6
大众 捷达 2013款 1.6L 自动舒适型,5.78,11.76,2014,11.66,1.6L,0,7
福特 领界 2020款 S EcoBoost 145 CVT铂领型,11.98,14.42,2020,1.41,1.5T,0,1
大众 迈腾 2019款 330TSI DSG 领先型 国V,17.8,23.35,2019,4.52,2.0T,0,2
大众 捷达 2013款 1.6L 自动豪华型,4.6,12.95,2013,3.0,1.6L,0,8
Jeep 自由光 2016款 2.4L 优越版,13.5,29.94,2017,4.92,2.4L,0,4
吉利 博瑞 2017款 2.4L 舒适型,7.2,14.09,2018,6.73,2.4L,0,3
日产 楼兰 2015款 2.5L XL 两驱智尚版,16.62,29.18,2016,4.69,2.5L,0,5
大众 宝来 2017款 1.6L 自动时尚型,6.98,13.0,2017,4.5,1.6L,0,4
大众 途观 2016款 300TSI 自动两驱风尚版,11.3,22.99,2016,7.17,1.8T,0,5
本田 竞瑞 2017款 1.5L CVT经典版,7.8,10.84,2018,1.23,1.5L,0,3
大众 捷达 2015款 质惠版 1.6L 手动时尚型,4.38,9.29,2016,7.29,1.6L,1,5
大众 速腾 2014款 改款 1.6L 自动舒适型,6.48,16.37,2014,8.55,1.6L,0,7
大众POLO 2018款 1.5L 自动安享型,8.6,11.06,2019,0.85,1.5L,0,2
哈弗H6 2019款 蓝标 2.0GDIT 自动豪华智联版,10.5,14.55,2019,3.0,2.0T,0,2
别克 昂科拉 2013款 1.4T 自动两驱领先型,4.8,19.2,2013,8.5,1.4T,0,8
奔驰CLA级 2016款 改款 CLA 200 时尚型(进口),18.8,31.15,2016,1.21,1.6T,0,5
吉利 缤越 2019款 260T DCT骑士 国VI,8.7,10.83,2019,2.38,1.5T,0,2
现代ix35 2012款 2.0L 自动两驱精英版GLS,6.8,21.25,2013,7.61,2.0L,0,8
奔驰C级 2018款 C 200 运动版,25.98,33.95,2018,2.73,2.0T,0,3
本田CR-V 2013款 2.0L 两驱经典版,12.68,22.56,2015,5.8,2.0L,0,6
马自达CX-4 2018款 2.0L 自动两驱蓝天活力版 国V,11.8,16.59,2018,2.1,2.0L,0,3
黄海N3 2017款 2.4T自动两驱运动版4K22D4T,9.68,12.24,2018,0.96,2.4T,0,3
福特 福克斯 2015款 三厢 1.6L 手动舒适型,4.78,12.35,2016,5.17,1.6L,1,5
日产 奇骏 2019款 2.0L CVT智联舒适版 2WD,15.9,21.63,2019,4.23,2.0L,0,2
本田 凌派 2019款 180Turbo CVT豪华版 国VI,9.2,13.0,2019,2.56,1.0T,0,2
起亚KX3 2015款 1.6L 自动两驱DLX,7.17,15.28,2015,7.29,1.6L,0,6
大众 捷达 2015款 质惠版 1.6L 自动时尚型,5.2,10.38,2017,6.7,1.6L,0,4
雪佛兰 迈锐宝 2013款 2.0L 自动豪华版,6.68,19.74,2013,5.33,2.0L,0,8
本田 飞度 2018款 1.5L CVT舒适版,7.3,8.88,2018,6.27,1.5L,0,3
大众 朗逸 2015款 1.6L 自动舒适版,7.38,14.86,2016,8.22,1.6L,0,5
现代ix25 2015款 1.6L 自动两驱时尚型GS,7.18,14.52,2014,8.6,1.6L,0,7
大众 夏朗 2015款 1.8TSI 舒适型(进口),14.5,31.61,2016,9.73,1.8T,0,5
奔驰CLA级 2015款 CLA 220 4MATIC(进口),18.98,34.52,2015,5.37,2.0T,0,6
别克GL8 2017款 ES 28T 舒适型 国V,22.5,31.47,2017,12.3,2.0T,0,4
大众 捷达 2019款 梦想版 1.5L 自动时尚型,6.88,10.29,2019,7.99,1.5L,0,2
大众 高尔夫 2015款 1.4TSI 自动舒适型,8.98,16.81,2015,6.68,1.4T,0,6
现代 朗动 2015款 1.6L 自动领先型,5.9,13.87,2015,8.42,1.6L,0,6
本田 思域 2016款 220TURBO CVT豪华版,12.18,15.19,2018,3.0,1.5T,0,3
宝马3系 2020款 325i M运动曜夜版,31.8,35.81,2020,2.6,2.0T,0,1
大众CC 2016款 1.8TSI 尊贵型,13.9,27.44,2016,6.85,1.8T,0,5
大众 高尔夫 2016款 230TSI 自动舒适型,9.8,16.81,2016,7.0,1.4T,0,5
大众 高尔夫 2014款 1.6L 自动舒适型,6.68,15.73,2014,4.98,1.6L,0,7
大众 高尔夫 2016款 1.6L 自动舒适型,8.58,15.73,2016,6.69,1.6L,0,5
哈弗H2s 2017款 蓝标 1.5T 双离合精英型,6.6,10.62,2017,2.3,1.5T,0,4
大众CC 2015款 1.8TSI 尊贵型,14.98,27.44,2015,6.43,1.8T,0,6
本田 雅阁 2018款 260TURBO 旗舰版 国V,18.29,24.94,2019,3.61,1.5T,0,2
大众 宝来 2011款 1.6L 自动时尚型,3.68,13.0,2011,10.2,1.6L,0,10
别克GL8 2017款 ES 28T 尊享型 国V,29.3,35.81,2018,1.31,2.0T,0,3
大众 凌渡 2018款 280TSI DSG舒适版,11.68,20.07,2018,3.0,1.4T,0,3
现代 领动 2016款 1.6L 自动智炫·精英型,8.38,13.0,2018,2.97,1.6L,0,3
大众CC 2011款 2.0TSI 豪华型,11.6,30.26,2012,7.68,2.0T,0,9
别克 英朗 2014款 XT 1.6L 自动时尚版,5.94,16.27,2015,2.86,1.6L,0,6
大众POLO 2016款 1.4L 手动风尚型,4.85,8.24,2017,8.5,1.4L,1,4
奥迪A3 2015款 Limousine 35 TFSI 百万纪念智领型,12.88,25.39,2016,7.58,1.4T,0,5
现代 领动 2019款 1.5L CVT智炫·精英型,9.3,13.0,2019,5.6,1.5L,0,2
大众 朗逸 2018款 1.5L 自动风尚版 国V,9.18,13.56,2018,3.3,1.5L,0,3
大众CC 2019款 330TSI 魅颜版 国VI,21.78,28.53,2019,2.0,2.0T,0,2
福特 蒙迪欧 2017款 改款 EcoBoost 200 时尚型,12.58,22.34,2018,5.14,2.0T,0,3
大众 帕萨特 2020款 330TSI 精英版 国VI,18.18,23.65,2020,1.8,2.0T,0,1
大众 宝来 2012款 1.6L 手动时尚型,3.3,11.7,2011,9.0,1.6L,1,10
雪佛兰 迈锐宝 2018款 530T 自动豪华版,9.8,19.53,2018,3.43,1.5T,0,3
现代 名图 2017款 1.6T 自动智能型GLS 国V,9.2,17.35,2017,6.22,1.6T,0,4
本田UR-V 2017款 240TURBO 两驱经典版 国VI,20.9,26.79,2019,6.37,1.5T,0,2
宝马5系 2018款 530Li 领先型 M运动套装,39.58,51.98,2018,3.89,2.0T,0,3
雪佛兰 2015款 赛欧3 1.3L AMT理想版,3.98,7.48,2016,6.98,1.3L,0,5
雪佛兰 沃兰多 2019款 Redline 530T 自动纵享版（5+2款） 国VI,10.8,16.27,2020,0.28,1.3T,0,1
本田 冠道 2017款 240TURBO 两驱舒享版,21.6,26.68,2019,4.43,1.5T,0,2
大众 迈腾 2019款 330TSI DSG 豪华型 国V,17.68,24.87,2019,4.03,2.0T,0,2
大众 迈腾 2018款 改款 330TSI DSG 豪华型,18.5,25.5,2018,7.6,1.8T,0,3
宝马X1 2020款 xDrive25Li 尊享型,28.28,36.88,2020,0.53,2.0T,0,1
福特 福克斯 2019款 三厢 EcoBoost 180 自动锋耀型,10.6,16.37,2019,0.9,1.5T,0,2
大众 途观 2016款 300TSI 自动四驱风尚视野版,14.38,26.68,2016,7.0,1.8T,0,5
奥迪A4L 2017款 Plus 40 TFSI 进取型,20.9,32.54,2017,8.58,2.0T,0,4
大众 帕萨特 2019款 330TSI 精英版 国VI,17.18,23.65,2019,2.3,2.0T,0,2
本田 思域 2016款 220TURBO CVT尊贵版,11.98,16.92,2017,8.04,1.5T,0,4
大众 宝来 2015款 质惠版 1.6L 手动舒适型,6.28,12.3,2016,8.7,1.6L,1,5
宝马5系 2011款 523Li 豪华型,16.08,53.14,2011,11.77,2.5L,0,10
大众 宝来 2014款 1.6L 自动舒适型,6.98,13.93,2015,6.5,1.6L,0,6
奥迪A6L 2019款 40 TFSI 豪华动感型,34.5,44.48,2019,2.37,2.0T,0,2
福特 蒙迪欧 2013款 2.0L GTDi200时尚型,10.0,22.01,2015,6.52,2.0T,0,6
大众 帕萨特 2019款 330TSI 豪华版 国VI,19.5,25.82,2020,2.67,2.0T,0,1
本田 锋范 2017款 1.5L CVT豪华版,7.0,11.48,2017,8.69,1.5L,0,4
传祺GA6 2016款 235T DCT精英版,7.6,13.76,2019,1.15,1.5T,0,2
长安商用 睿行S50T 2018款 1.5T 手动精英版 国V,4.79,7.8,2019,1.54,1.5T,1,2
大众 捷达 2015款 质惠版 1.6L 自动时尚型,5.2,10.38,2017,6.7,1.6L,0,4
大众 迈腾 2013款 1.8TSI 豪华型,10.58,25.27,2014,8.0,1.8T,0,7
大众CC 2016款 1.8TSI 豪华型,17.38,29.18,2017,5.7,1.8T,0,4
丰田 卡罗拉 2017款 改款 1.2T S-CVT GL-i,9.96,13.87,2018,1.17,1.2T,0,3
现代ix35 2018款 2.0L 自动两驱智勇·畅享版,10.8,15.19,2018,5.5,2.0L,0,3
大众 宝来 2014款 1.6L 自动舒适型,5.36,13.93,2014,16.0,1.6L,0,7
日产 天籁 2016款 2.0L XE时尚版,13.38,19.08,2017,0.37,2.0L,0,4
吉利 帝豪GS 2019款 1.5TD DCT动 260T,7.8,11.48,2019,2.4,1.5T,0,2
丰田 皇冠 2015款 2.0T 时尚版,22.8,32.0,2016,6.25,2.0T,0,5
大众 迈腾 2018款 330TSI DSG 领先型,16.28,23.87,2018,5.19,1.8T,0,3
大众 帕萨特 2016款 330TSI DSG尊荣版,13.58,24.2,2016,9.01,1.8T,0,5
雪佛兰 2015款 赛欧3 1.5L AMT幸福天窗版,4.6,8.67,2016,6.58,1.5L,0,5
别克 昂科旗 2020款 28T 四驱尊贵型,27.22,35.81,2020,0.4,2.0T,0,1
雷诺 科雷傲 2014款 2.5L 两驱舒适版(进口),7.52,27.87,2014,8.11,2.5L,0,7
大众 迈腾 2019款 380TSI DSG 豪华型 国V,18.0,26.5,2019,7.0,2.0T,0,2
宝马3系 2015款 316Li 时尚型,17.68,34.93,2015,9.41,1.6T,0,6
宝马3系 2017款 320Li 时尚型,21.8,35.38,2017,6.13,2.0T,0,4
大众 迈腾 2019款 280TSI DSG 舒适型 国V,15.28,20.2,2019,2.8,1.4T,0,2
大众 高尔夫 2015款 1.4TSI 自动舒适型,7.98,16.81,2015,11.77,1.4T,0,6
大众POLO 2016款 1.4L Cross Polo 自动,6.38,10.52,2016,4.0,1.4L,0,5
大众 捷达 2017款 1.4L 手动时尚型,5.3,8.67,2018,2.1,1.4L,1,3
奥迪A4L 2012款 2.0 TFSI 自动舒适型,9.0,35.81,2012,19.93,2.0T,0,9
雪佛兰 迈锐宝 2014款 2.0L 自动舒适版,7.0,18.44,2014,9.7,2.0L,0,7
大众 途观 2012款 1.8TSI 自动两驱菁英版,8.28,27.66,2012,12.0,1.8T,0,9
马自达CX-4 2020款 2.0L 自动两驱蓝天品位版,15.88,18.43,2021,0.01,2.0L,0,0
奔驰E级 2014款 E 200 轿跑版(进口),26.88,57.53,2016,6.4,2.0T,0,5
雪佛兰 探界者 2019款 535T 自动驭界版 国V,13.35,21.7,2019,2.52,1.5T,0,2
奥迪A6L 2016款 30 FSI 舒适型,25.8,50.85,2016,13.0,2.5L,0,5
本田 奥德赛 2015款 改款 2.4L 智酷版,18.68,30.05,2016,5.8,2.4L,0,5
大众 捷达 2015款 质惠版 1.6L 自动时尚型,5.98,10.38,2016,9.88,1.6L,0,5
奔驰C级 2016款 C 200 L 运动型,23.9,38.4,2016,6.86,2.0T,0,5
哈弗H6 2019款 2.0GDIT 自动冠军版 国V,9.8,13.79,2019,1.26,2.0T,0,2
大众 朗逸 2019款 280TSI DSG舒适版 国VI,11.08,15.95,2019,2.87,1.4T,0,2
吉利 帝豪 2018款 1.5L CVT向上互联版,5.7,9.96,2018,4.02,1.5L,0,3
哈弗H6 2016款 升级版 1.5T 自动两驱精英型,6.45,12.35,2016,8.2,1.5T,0,5
大众CC 2015款 1.8TSI 尊贵型,12.8,27.44,2015,13.12,1.8T,0,6
马自达 阿特兹 2020款 2.0L 蓝天豪华版,16.8,20.6,2021,0.01,2.0L,0,0
雪佛兰 科沃兹 2016款 1.5L 自动欣享版,5.3,9.65,2017,3.18,1.5L,0,4
宝马X3 2018款 xDrive25i M运动套装 国VI,30.8,42.31,2019,5.04,2.0T,0,2
大众 桑塔纳 2015款 1.4L 手动风尚版,5.28,9.22,2018,4.21,1.4L,1,3
奔驰C级 2016款 C 200 运动版,22.68,34.17,2016,7.85,2.0T,0,5
别克GL8 2013款 2.4L 舒适版,5.98,24.75,2013,12.8,2.4L,0,8
奥迪Q3 2017款 30 TFSI 风尚型,16.58,31.57,2016,5.96,1.4T,0,5
起亚 智跑 2015款 2.0L 自动两驱版GLS,9.38,18.76,2016,8.53,2.0L,0,5
大众 速腾 2018款 180TSI DSG臻享版,11.28,16.37,2019,1.2,1.2T,0,2
大众 朗逸 2017款 1.6L 自动舒适版,8.18,14.53,2017,8.03,1.6L,0,4
大众POLO 2016款 1.6L Cross Polo 自动,6.92,12.8,2016,8.64,1.6L,0,5
福特 福克斯 2011款 三厢 1.8L 手动舒适型,2.95,12.46,2010,8.96,1.8L,1,11
大众 帕萨特 2015款 1.8TSI DSG御尊版,10.5,26.03,2015,13.7,1.8T,0,6
大众 速腾 2015款 1.6L 手动舒适型,6.8,15.07,2016,7.42,1.6L,1,5
马自达 阿特兹 2018款 2.0L 蓝天豪华版 国V,14.68,20.6,2018,2.8,2.0L,0,3
别克 英朗 2015款 18T 双离合豪华型,6.3,16.38,2015,8.0,1.4T,0,6
大众POLO 2016款 1.6L 自动舒适型,6.98,11.28,2016,3.08,1.6L,0,5
福特 锐界 2018款 EcoBoost 245 两驱豪锐型 7座 国V,19.88,29.29,2018,6.0,2.0T,0,3
大众 途锐 2011款 3.0TSI 标配型(进口),17.6,78.15,2011,11.47,3.0T,0,10
宝马2系 2015款 218i 敞篷轿跑车(进口),21.5,35.31,2017,6.81,1.5T,0,4
大众 迈腾 2018款 330TSI DSG 领先型,15.3,23.87,2018,5.2,1.8T,0,3
本田 缤智 2017款 1.5L CVT两驱舒适型,9.35,14.85,2017,4.55,1.5L,0,4
大众 捷达 2015款 质惠版 1.6L 自动时尚型,5.98,10.38,2016,9.88,1.6L,0,5
现代ix25 2017款 1.6L 自动智能型,10.48,14.42,2019,0.64,1.6L,0,2
大众 迈腾 2018款 330TSI DSG 领先型,16.38,23.87,2018,4.5,1.8T,0,3
福特 福克斯 2012款 两厢 1.6L 自动舒适型,5.08,14.21,2014,4.39,1.6L,0,7
日产 奇骏 2014款 2.0L CVT舒适版 2WD,13.98,21.36,2017,4.29,2.0L,0,4
大众 速腾 2015款 230TSI 自动舒适型,9.6,17.45,2016,5.17,1.4T,0,5
丰田86 2013款 2.0L 手动豪华型(进口),18.1,29.2,2013,5.02,2.0L,1,8
雪佛兰 科帕奇 2015款 2.4L 四驱旗舰版 7座,8.38,22.78,2016,8.9,2.4L,0,5
大众POLO 2016款 1.4L 自动风尚型,6.18,9.54,2016,2.2,1.4L,0,5
福特 福克斯 2020款 三厢 EcoBoost 180 自动ST Line,12.38,16.37,2020,0.19,1.5T,0,1
大众 迈腾 2017款 330TSI DSG 豪华型,15.6,25.5,2017,9.59,1.8T,0,4
奔驰C级 2019款 C 260 L 运动版,29.38,38.08,2019,1.16,1.5T,0,2
福特 福克斯 2019款 三厢 EcoBoost 180 自动锋潮型,9.5,14.63,2019,2.8,1.5T,0,2
福特 蒙迪欧 2013款 2.0L GTDi200豪华型,9.68,24.18,2014,11.0,2.0T,0,7
大众 途观 2016款 300TSI 自动两驱风尚版,12.98,22.99,2017,4.89,1.8T,0,4
大众 捷达 2013款 1.6L 自动舒适型,4.5,11.76,2013,5.57,1.6L,0,8
马自达 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,8.92,15.19,2017,3.41,1.5L,0,4
大众 高尔夫 2016款 2.0TSI GTI,15.9,26.04,2015,5.48,2.0T,0,6
大众 捷达 2015款 质惠版 1.4L 手动时尚型,4.6,8.67,2017,6.15,1.4L,1,4
起亚K3 2016款 1.6L 自动GLS,6.3,12.9,2016,4.9,1.6L,0,5
雪佛兰 探界者 2019款 535T 自动驭界版 国VI,14.38,21.7,2020,0.71,1.5T,0,1
大众 宝来 2016款 1.6L 手动舒适型,5.98,13.0,2016,9.0,1.6L,1,5
奥迪S3 2015款 S3 2.0T Limousine(进口),22.78,43.4,2015,7.57,2.0T,0,6
大众 捷达 2015款 1.6L 自动时尚型,4.8,10.67,2014,5.0,1.6L,0,7
福特 嘉年华 2013款 三厢 1.5L 自动品尚型,3.58,11.28,2013,7.0,1.5L,0,8
福特 福克斯 2017款 两厢 1.6L 自动舒适型智行版,6.32,13.76,2017,6.18,1.6L,0,4
别克 君威 2015款 1.6T 领先技术型,7.9,20.61,2015,7.3,1.6T,0,6
奥迪Q5L 2018款 40 TFSI 荣享时尚型 国V,30.5,44.92,2018,5.51,2.0T,0,3
宝马3系 2018款 320Li xDrive 时尚型,25.88,37.64,2018,4.85,2.0T,0,3
起亚K5 2016款 2.0L 自动GLS,11.5,17.89,2018,2.6,2.0L,0,3
大众 迈腾 2017款 330TSI DSG 领先型,15.8,23.87,2017,7.0,1.8T,0,4
大众 迈腾 2018款 改款 380TSI DSG 豪华型,18.38,27.13,2018,4.48,2.0T,0,3
大众 途观 2016款 300TSI 自动两驱豪华版,14.8,28.2,2017,5.52,1.8T,0,4
哈弗H9 2017款 2.0T 柴油四驱舒适型 5座,18.8,24.73,2017,5.8,2.0T,0,4
别克 英朗 2019款 18T 自动互联精英型 国VI,6.68,14.75,2019,1.62,1.3T,0,2
大众 速腾 2012款 1.6L 手动时尚型,4.85,14.31,2012,7.3,1.6L,1,9
日产 蓝鸟 2016款 1.6L CVT高能版,7.45,15.62,2016,8.14,1.6L,0,5
大众 速腾 2018款 1.6L 自动舒适型,9.6,16.04,2018,4.7,1.6L,0,3
宝马1系 2017款 118i 运动型,14.6,24.94,2017,3.1,1.5T,0,4
奔驰GLA级 2018款 GLA 200 动感型,20.88,29.29,2019,0.97,1.6T,0,2
大众 迈腾 2012款 改款 2.0TSI 尊贵型,9.8,29.07,2012,8.2,2.0T,0,9
现代 朗动 2016款 1.6L 自动智能型,6.8,12.57,2017,4.31,1.6L,0,4
大众POLO 2018款 1.5L 手动安驾型,6.2,8.46,2018,1.71,1.5L,1,3
日产 奇骏 2014款 2.0L CVT舒适版 2WD,12.9,21.36,2015,5.3,2.0L,0,6
本田 飞度 2014款 1.5L LX CVT舒适型,5.88,8.88,2015,5.66,1.5L,0,6
福特 翼虎 2013款 1.6L GTDi 两驱风尚型,7.5,23.64,2014,11.68,1.6T,0,7
奔驰C级 2018款 C 180 L 时尚型运动版,23.86,35.15,2018,6.8,1.6T,0,3
大众POLO 2009款 劲情 1.4L 自动舒尚版,2.98,11.16,2009,15.0,1.4L,0,12
起亚 智跑 2011款 2.0L 自动两驱版Premium,5.0,22.66,2011,16.8,2.0L,0,10
奥迪A4L 2013款 35 TFSI 自动标准型,16.5,33.63,2014,15.3,2.0T,0,7
现代 全新胜达 2013款 2.4L 自动两驱智能型,9.8,27.12,2013,14.47,2.4L,0,8
宝马2系旅行车 2016款 218i 时尚型,12.8,25.49,2017,6.83,1.5T,0,4
大众 迈腾 2020款 330TSI DSG 豪华型,19.9,25.39,2020,1.3,2.0T,0,1
现代 悦动 2011款 1.6L 自动豪华型,3.5,13.11,2011,10.29,1.6L,0,10
大众 迈腾 2017款 380TSI DSG 尊贵型,16.88,29.73,2017,11.2,2.0T,0,4
丰田 威驰 2014款 1.5L 自动智臻版,5.38,9.53,2016,8.6,1.5L,0,5
现代 瑞奕 2014款 1.4L 自动GLX,4.38,9.54,2015,5.86,1.4L,0,6
吉利 远景X3 2019款 升级版 1.5L CVT精英型,5.78,7.04,2019,1.39,1.5L,0,2
宝马5系 2018款 525Li 豪华套装,36.0,47.42,2018,6.6,2.0T,0,3
起亚K5 2014款 2.0T 自动T-Special,8.88,27.12,2014,11.29,2.0T,0,7
现代 全新胜达 2013款 3.0L 四驱舒适导航版 7座 欧IV(进口),10.5,34.71,2013,12.75,3.0L,0,8
大众 迈腾 2018款 330TSI DSG 豪华型,16.8,25.5,2018,7.5,1.8T,0,3
大众 高尔夫 2015款 1.6L 自动舒适型,8.28,15.73,2015,5.06,1.6L,0,6
马自达 阿特兹 2015款 2.0L 蓝天豪华版,10.98,20.49,2015,6.48,2.0L,0,6
马自达CX-4 2020款 2.0L 自动两驱蓝天品位版,15.98,18.43,2021,0.02,2.0L,0,0
马自达CX-4 2018款 2.0L 自动两驱蓝天活力版 国V,11.5,16.59,2018,7.56,2.0L,0,3
大众CC 2015款 1.8TSI 尊贵型,12.8,27.44,2015,13.12,1.8T,0,6
大众 捷达 2012款 1.6L 前卫,4.68,9.64,2012,6.66,1.6L,1,9
本田 锋范 2017款 1.5L CVT舒适版,6.38,9.75,2017,2.38,1.5L,0,4
大众 高尔夫 2016款 230TSI 自动豪华型,10.18,18.01,2016,6.8,1.4T,0,5
宝马2系旅行车(进口) 2015款 218i 运动设计套装(进口),14.2,34.72,2016,6.1,1.5T,0,5
日产 轩逸 2016款 1.6XV CVT智享版,8.99,15.17,2017,4.1,1.6L,0,4
大众 高尔夫 2016款 230TSI 自动豪华型,9.3,18.01,2015,7.35,1.4T,0,6
本田 飞度 2018款 1.5L CVT舒适天窗版,8.2,9.31,2019,2.73,1.5L,0,2
大众 宝来 2011款 1.6L 自动时尚型,3.5,13.0,2010,10.2,1.6L,0,11
大众 迈腾 2015款 2.0TSI 豪华型,11.8,26.9,2015,9.0,1.8T,0,6
吉利 帝豪GS 2017款 运动版 1.3T 自动智联型,6.7,12.14,2017,3.57,1.3T,0,4
大众 迈腾 2020款 330TSI DSG 领先型,19.2,23.87,2020,1.4,2.0T,0,1
现代ix35 2010款 2.0L 自动两驱精英版GLS,6.38,21.25,2012,8.0,2.0L,0,9
大众 捷达 2015款 1.4L 手动舒适型,4.48,10.07,2016,7.86,1.4L,1,5
Jeep 自由光 2019款 2.0T 两驱智享版 国VI,18.18,24.18,2021,0.01,2.0T,0,0
哈弗H6 2012款 2.4L 自动两驱精英型,3.78,13.55,2012,8.32,2.4L,0,9
奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,23.1,37.22,2018,3.68,2.0T,0,3
大众 帕萨特 2019款 330TSI 豪华版 国VI,18.78,25.82,2019,2.83,2.0T,0,2
马自达 昂克赛拉 2019款 云控版 三厢 1.5L 自动舒适型 国VI,10.88,13.45,2020,1.5,1.5L,0,1
福特 野马 2017款 2.3T 性能版(进口),24.88,43.07,2017,4.21,2.3T,0,4
起亚K3 2019款 1.4T DCT GT-Line智享运动版,9.98,13.66,2019,1.9,1.4T,0,2
大众 朗逸 2018款 经典 1.5L 自动风尚版 国VI,8.8,12.91,2020,2.79,1.5L,0,1
马自达 阿特兹 2018款 2.0L 蓝天豪华版 国V,14.6,20.6,2018,3.51,2.0L,0,3
哈弗H6 Coupe 2018款 蓝标 1.5T 自动两驱超豪型,8.5,13.57,2018,3.1,1.5T,0,3
大众 宝来 2013款 1.6L 自动时尚型,5.3,13.0,2013,7.58,1.6L,0,8
大众POLO 2016款 1.4L 自动风尚型,6.8,9.54,2016,1.5,1.4L,0,5
大众 宝来 2014款 1.6L 自动舒适型,5.7,13.93,2014,12.79,1.6L,0,7
奥迪A4L 2018款 30周年年型 40 TFSI 进取型,23.8,33.32,2018,4.02,2.0T,0,3
